date,product_id,product_name,sales_quantity,inventory_level,region
2024-03-25,P001,Product A,87,593,North
2024-03-25,P002,Product B,75,381,South
2024-03-25,P003,Product C,100,517,West
2024-03-26,P001,Product A,53,357,North
2024-03-26,P002,Product B,63,353,South
2024-03-26,P003,Product C,133,301,West
2024-03-27,P001,Product A,107,594,North
2024-03-27,P002,Product B,125,476,South
2024-03-27,P003,Product C,136,421,West
2024-03-28,P001,Product A,133,259,North
2024-03-28,P002,Product B,85,543,South
2024-03-28,P003,Product C,97,529,West
2024-03-29,P001,Product A,126,414,North
2024-03-29,P002,Product B,69,252,South
2024-03-29,P003,Product C,112,332,West
2024-03-30,P001,Product A,77,575,North
2024-03-30,P002,Product B,148,406,South
2024-03-30,P003,Product C,72,321,West
2024-03-31,P001,Product A,53,599,North
2024-03-31,P002,Product B,79,444,South
2024-03-31,P003,Product C,105,260,West
2024-04-01,P001,Product A,112,447,North
2024-04-01,P002,Product B,87,282,South
2024-04-01,P003,Product C,69,539,West
2024-04-02,P001,Product A,130,445,North
2024-04-02,P002,Product B,78,442,South
2024-04-02,P003,Product C,125,232,West
2024-04-03,P001,Product A,117,236,North
2024-04-03,P002,Product B,77,555,South
2024-04-03,P003,Product C,52,482,West
2024-04-04,P001,Product A,113,312,North
2024-04-04,P002,Product B,82,582,South
2024-04-04,P003,Product C,58,454,West
2024-04-05,P001,Product A,127,388,North
2024-04-05,P002,Product B,70,535,South
2024-04-05,P003,Product C,103,539,West
2024-04-06,P001,Product A,118,348,North
2024-04-06,P002,Product B,50,471,South
2024-04-06,P003,Product C,132,513,West
2024-04-07,P001,Product A,72,299,North
2024-04-07,P002,Product B,95,506,South
2024-04-07,P003,Product C,126,477,West
2024-04-08,P001,Product A,117,336,North
2024-04-08,P002,Product B,104,393,South
2024-04-08,P003,Product C,82,356,West
2024-04-09,P001,Product A,80,551,North
2024-04-09,P002,Product B,54,390,South
2024-04-09,P003,Product C,106,320,West
2024-04-10,P001,Product A,115,225,North
